cntntsSn,disease
6256,토혈(성인)
5249,폐렴(성인)
5474,폐렴(소아)
5692,모반(점)
6722,근 손실
5846,눈 충혈
6540,폐 색전증
5439,이 사면발이 감염증
5693,발 백선(무좀)
6677,코로나바이러스감염증-19
5307,A형간염
6672,B형간염
5309,C형간염
2391,갑상선 검사(전산화단층촬영(CT)과 자기공명영상(MRI))
5530,태아 DNA 선별검사 (NIPT 검사)
5837,생활 속의 수은(Hg)
5834,생활 속의 중금속: 납(Pb)
2392,갑상선 검사(양전자방출단층촬영(PET))
5233,중증열성혈소판감소증후군(SFTS)
5515,삼중 또는 사중 표지자 검사(Triple 또는 Quad test)와 통합선별검사 (Integrated test)
2847,"“사무용품에 의한 오존, 휘발성유기화합물(VOCs),  중금속”"
